feature,importance
tax_per_sqft,0.07820767
lotsizesquarefeet,0.072140678
structure_to_land_ratio,0.071993607
value_vs_neighborhood,0.066422092
latitude,0.065323474
structuretaxvaluedollarcnt,0.055899423
longitude,0.053109138
calculatedfinishedsquarefeet,0.052780205
taxamount,0.052584201
finishedsquarefeet12,0.047183458
taxvaluedollarcnt,0.046696024
landtaxvaluedollarcnt,0.043426985
regionidzip,0.039448868
zip_avg_value,0.029215173
yearbuilt,0.028898419
property_age,0.025278443
zip_value_std,0.024670862
bath_to_bed_ratio,0.021289112
bedroomcnt,0.02124317
censustractandblock,0.018367287
regionidcity,0.017396703
rawcensustractandblock,0.015100549
room_per_sqft,0.012499615
propertycountylandusecode,0.009530821
propertylandusetypeid,0.008952286
bathroomcnt,0.00474296
roomcnt,0.004449204
calculatedbathnbr,0.004323209
fullbathcnt,0.003145984
assessmentyear,0.002783549
year,0.002465702
regionidcounty,0.000370953
fips,6.02E-05
